svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit
14393;14457;14080;14483;14685;14412;15436;15339;15441;15271;15210;15518;15364;15408;15486;14889;14704;14824;14844;14942;15196
14519;14239;14293;14507;14443;14600;15195;15392;15470;15086;15505;15209;15459;15553;15600;14724;14622;14770;14957;15018;15002
14451;14325;14626;14317;14581;14519;15444;15157;15440;15314;15381;15442;15665;15401;15536;14870;14872;14906;15062;15075;15010
14290;14311;14527;14482;14439;14632;15312;15440;15169;15472;15405;15371;15589;15489;15564;15009;14864;14953;14969;15030;14934
14330;14514;14331;14340;14571;14583;15156;15340;15284;15523;15276;15358;15524;15494;15515;14605;14497;14718;14852;15140;15015
14564;14482;14387;14547;14504;14222;15323;15421;15285;15225;15361;15339;15349;15507;15795;14922;14588;14721;15022;14588;14776
14770;14140;14244;14519;14480;14659;15309;15224;15262;15249;15066;15134;15407;12561;15441;14814;14823;14840;14816;15043;14815
14592;14353;14367;14346;14276;14634;15229;15368;15316;15442;15306;15471;15634;15235;15376;14737;14556;14704;14806;15047;14950
14575;14353;14407;14534;14248;14400;15151;15332;15425;15127;15562;15306;15427;15346;15354;14876;14961;14954;14775;15062;15065
14841;14468;14254;14482;14524;14739;15451;15340;15343;15439;15335;15345;15441;15436;15578;14639;14727;14665;15001;14675;14716
14547;14346;14450;14531;14544;14297;15168;15468;15337;15218;15394;15306;15573;15352;15572;14519;14738;14916;15102;15046;14971
14680;14439;14260;14454;14232;14407;15585;15323;15399;15240;15285;15201;15517;15453;15384;14647;14777;14774;15021;14994;14758
14517;14363;14244;14349;14613;14601;15500;15293;15196;15245;15398;15559;15701;15521;15597;14832;14818;14892;15015;14901;15125
14516;14411;14486;14552;14735;14571;15475;15366;15347;15331;15229;15216;15516;15523;15636;14653;14565;14808;14893;14900;14914
14521;14420;14495;14684;14524;14509;15410;15460;15479;15486;15419;15269;15502;15388;15623;14542;14863;14881;15066;14977;14917
