install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
6255;9058;1369;608;580;
6866;9384;1369;608;580;
6732;9482;1369;608;580;
6349;9531;1369;608;580;
6195;9187;1369;608;580;
6620;9393;1369;608;580;
6280;9306;1369;608;580;
6155;9224;1369;608;580;
6637;9647;1369;608;580;
6168;8629;1369;608;580;
6377;9117;1369;608;580;
6105;8974;1369;608;580;
6947;9701;1369;608;580;
6434;9107;1369;608;580;
6485;9140;1369;608;580;
6497;9237;1369;608;580;
6561;8995;1369;608;580;
6149;9095;1369;608;580;
6106;9096;1369;608;580;
6259;9083;1369;608;580;
6734;8921;1369;608;580;
6341;8825;1369;608;580;
6613;9194;1369;608;580;
6179;8917;1369;608;580;
6104;8696;1369;608;580;
6858;9103;1369;608;580;
6622;9146;1369;608;580;
6122;8685;1369;608;580;
5996;8750;1369;608;580;
6847;9330;1369;608;580;
6071;8746;1369;608;580;
6196;9401;1369;608;580;
6334;8958;1369;608;580;
5926;8868;1369;608;580;
6589;8773;1369;608;580;
6460;8783;1369;608;580;
6561;8718;1369;608;580;
6781;9142;1369;608;580;
6263;8669;1369;608;580;
6094;8662;1369;608;580;
6359;8922;1369;608;580;
6034;8660;1369;608;580;
6018;8830;1369;608;580;
6657;9145;1369;608;580;
6281;9234;1369;608;580;
6321;9039;1369;608;580;
6195;9425;1369;608;580;
6415;8750;1369;608;580;
6392;8825;1369;608;580;
6973;8865;1369;608;580;
5891;8852;1369;608;580;
6136;8297;1369;608;580;
5974;8975;1369;608;580;
6034;9009;1369;608;580;
6345;8413;1369;608;580;
6155;8803;1369;608;580;
5688;8674;1369;608;580;
5966;9000;1369;608;580;
6188;8643;1369;608;580;
5809;8374;1369;608;580;
6150;8766;1369;608;580;
6398;9375;1369;608;580;
6280;8672;1369;608;580;
6239;8317;1369;608;580;
6296;9004;1369;608;580;
6707;8652;1369;608;580;
5899;8654;1369;608;580;
6862;8786;1369;608;580;
6061;8743;1369;608;580;
6308;8667;1369;608;580;
6523;8991;1369;608;580;
6390;8650;1369;608;580;
6045;9349;1369;608;580;
6546;8814;1369;608;580;
5934;8541;1369;608;580;
5989;8703;1369;608;580;
5790;8397;1369;608;580;
6343;8702;1369;608;580;
5644;8629;1369;608;580;
6108;8892;1369;608;580;
6634;8995;1369;608;580;
6012;8481;1369;608;580;
6195;8637;1369;608;580;
6021;8906;1369;608;580;
6116;8595;1369;608;580;
6385;9239;1369;608;580;
6207;8722;1369;608;580;
5563;8331;1369;608;580;
5687;8632;1369;608;580;
5559;8397;1369;608;580;
5538;8250;1369;608;580;
5975;8379;1369;608;580;
5628;8457;1369;608;580;
5918;8061;1369;608;580;
6112;8512;1369;608;580;
5657;8257;1369;608;580;
5879;8695;1369;608;580;
6025;8916;1369;608;580;
5912;8371;1369;608;580;
5592;7805;1369;608;580;
5555;8190;1369;608;580;
6062;8422;1369;608;580;
5721;8325;1369;608;580;
6017;8355;1369;608;580;
6727;8583;1369;608;580;
5952;8279;1369;608;580;
5513;7886;1369;608;580;
5760;8126;1369;608;580;
