svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
1497;2378;11473;1569;3758;5100;5685;11155;1433;5431;10418;5103;19149;6979;7139;10538;28;124;548;164;396;684;184;204
1483;2298;11807;1529;3805;5332;5565;11262;1459;5565;10010;4875;19178;7349;7305;10690;28;124;548;164;396;684;184;204
1437;2293;11157;1466;3960;4738;5638;11139;1506;5538;10064;4779;18826;7181;6911;10950;28;124;548;164;396;684;184;204
1434;2360;11648;1535;3788;4687;5846;11354;1419;5867;10316;4816;18765;7086;7273;10765;28;124;548;164;396;684;184;204
1516;2347;10915;1530;3663;4659;5969;11375;1424;5440;10237;4723;18909;7130;7306;11046;28;124;548;164;396;684;184;204
1385;2298;11185;1582;3683;4820;6176;11688;1469;5406;10090;4580;18386;7247;7075;10756;28;124;548;164;396;684;184;204
1382;2252;11096;1449;4028;4821;5959;12404;1486;5511;10164;4932;19432;7313;7279;10928;28;124;548;164;396;684;184;204
1583;2296;11513;1470;3602;4708;5799;12382;1501;5631;10191;4842;19154;7162;7152;10588;28;124;548;164;396;684;184;204
1412;2262;11376;1464;3889;4747;6121;10887;1527;5637;9904;4787;18902;7410;6994;10831;28;124;548;164;396;684;184;204
1489;2222;10869;1504;3879;4761;6060;11614;1434;5743;10495;4880;18737;7514;6943;10500;28;124;548;164;396;684;184;204
1435;2359;11187;1493;3816;4655;5862;11534;1438;5598;10357;4737;19275;7248;7068;10463;28;124;548;164;396;684;184;204
1379;2334;11295;1525;3728;4917;5924;12010;1477;5442;10359;4650;18943;7096;7282;10711;28;124;548;164;396;684;184;204
1412;2287;10858;1440;3758;4891;5980;12125;1490;5374;9969;4866;19123;7166;7261;10757;28;124;548;164;396;684;184;204
1470;2230;11315;1511;3803;4925;6050;11768;1521;5340;10397;4882;19644;7315;7216;10782;28;124;548;164;396;684;184;204
1473;2419;11248;1571;3555;5026;6005;11484;1465;5608;10078;4918;19390;7266;7042;10602;28;124;548;164;396;684;184;204
1414;2337;11103;1583;3872;4956;5633;12094;1453;5648;10262;4764;18965;7048;7259;10797;28;124;548;164;396;684;184;204
1456;2387;11166;1539;3944;4725;5734;11115;1445;5492;9972;5188;18397;7189;6778;10605;28;124;548;164;396;684;184;204
1434;2376;10956;1456;3809;4982;5931;11167;1475;5545;10215;4852;18741;7443;6971;10541;28;124;548;164;396;684;184;204
1477;2273;11521;1542;4109;4955;5857;10997;1424;5516;10237;4753;19274;7201;7178;10774;28;124;548;164;396;684;184;204
1445;2285;11516;1576;3657;4743;5941;11440;1497;5547;10006;4882;18788;7337;7002;10843;28;124;548;164;396;684;184;204
1436;2347;11567;1510;3877;5192;6139;11887;1483;5516;10261;4791;19451;7425;7408;10848;28;124;548;164;396;684;184;204
1487;2235;11260;1518;4054;5015;5876;11697;1410;5745;10605;4825;18877;7123;7077;10668;28;124;548;164;396;684;184;204
1451;2173;11163;1477;4111;4895;5520;11009;1396;5634;10193;4747;18780;7185;6895;10670;28;124;548;164;396;684;184;204
1405;2283;11923;1529;3718;4814;6520;12315;1444;5500;10314;4820;19002;7155;7432;10760;28;124;548;164;396;684;184;204
1503;2412;11714;1453;3725;4568;5970;11493;1429;5573;10199;4868;18787;7252;7363;10940;28;124;548;164;396;684;184;204
1426;2316;11450;1520;3813;4875;5887;11988;1486;5476;10133;4814;18761;7281;7554;10700;28;124;548;164;396;684;184;204
1477;2461;11614;1459;3743;4469;5735;11324;1497;5524;10340;4893;19378;7022;6883;10902;28;124;548;164;396;684;184;204
1453;2333;11690;1518;3890;5097;6281;11481;1446;5641;10285;4757;18894;7482;7018;10628;28;124;548;164;396;684;184;204
1425;2353;11441;1528;3663;4825;5767;11308;1459;5567;10140;4850;19245;7181;7242;11083;28;124;548;164;396;684;184;204
1409;2204;10939;1496;3801;4755;5804;10739;1445;5435;10255;4894;18885;7178;7076;10957;28;124;548;164;396;684;184;204
1385;2376;10992;1427;3542;4825;5699;11481;1476;5500;10051;4761;18981;7234;7166;10736;28;124;548;164;396;684;184;204
1468;2428;11042;1528;3912;4830;6577;11627;1454;5380;10392;5144;18902;7154;6936;10459;28;124;548;164;396;684;184;204
