svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14947;14043;13997;14107;14863;15004;15602;15594;15549;15730;15627;15747;16376;16023;15322;15006;14771;15452;15192;15445;14927;15366;15699;15723
14645;15010;14646;15094;14798;15073;15691;15985;15573;15475;15717;15703;15739;15869;15767;14540;15221;15339;14875;14907;15287;15720;15558;15631
14604;15065;14829;15123;14075;14911;15514;15517;15383;15911;15708;15550;15848;15891;15583;14359;14493;15099;14432;14213;14250;15360;15632;15823
15080;15012;14887;14673;14214;14478;15544;15491;16062;15815;15981;15888;15761;15610;15771;15514;15399;15273;14689;15473;14959;15564;15273;15450
14739;14400;13868;13856;13869;14048;15314;15481;15763;15446;15598;15337;15923;15679;15864;15405;14980;14785;14407;14360;14863;15395;15773;15374
14505;14806;14826;14715;14896;15025;15540;15627;15620;15500;15757;15782;15882;15431;15351;15532;15054;14723;14309;15300;14829;15448;15840;15645
14861;14611;14035;14935;14340;14584;15424;15537;15704;15685;15541;15663;15746;15552;16062;15171;14794;14848;15334;15215;15152;15405;15854;15718
14818;14790;15029;14763;14438;14163;15800;16068;15807;15621;15525;15964;15689;15395;15488;14857;14623;15265;15110;15367;14429;15676;15607;15356
14091;14478;14027;15007;14827;14837;15861;15961;15812;15674;15994;15747;15583;16082;15899;15063;14943;15474;15139;14794;14614;15327;15726;15658
13684;13612;13574;14757;14671;14039;15930;15694;15533;15456;15709;15768;15777;15711;15929;14796;14461;15583;15381;14564;15035;15931;15743;15623
