svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
370;399;1143;387;560;769;770;923;1523;5921;8370;5153;19323;7908;7507;25589;28;124;548;164;396;684;184;204
386;401;1141;390;555;743;762;912;1492;5876;8277;5199;19338;7909;7703;25524;28;124;548;164;396;684;184;204
371;387;1158;377;566;744;767;934;1527;5879;8260;5141;19622;7956;7751;25764;28;124;548;164;396;684;184;204
378;395;1164;387;549;749;770;921;1553;5930;8244;5253;19477;7833;7594;25520;28;124;548;164;396;684;184;204
376;401;1179;402;554;764;772;927;1511;5850;8414;5164;19519;8001;7649;25220;28;124;548;164;396;684;184;204
376;398;1164;391;566;755;796;913;1546;5901;8262;5177;19373;7984;7580;25520;28;124;548;164;396;684;184;204
383;399;1158;393;569;771;755;900;1522;5948;8202;5189;19812;7969;7521;25511;28;124;548;164;396;684;184;204
378;403;1150;387;573;764;766;910;1518;5892;8236;5157;19450;8017;7507;25555;28;124;548;164;396;684;184;204
370;384;1153;382;557;764;769;888;1543;5870;8212;5172;19323;7985;7596;25491;28;124;548;164;396;684;184;204
375;411;1178;376;550;751;760;898;1599;5912;8275;5247;19768;8168;7658;25819;28;124;548;164;396;684;184;204
383;391;1173;380;572;763;777;925;1517;5918;8305;5166;19326;7957;7582;25596;28;124;548;164;396;684;184;204
362;403;1172;389;560;761;768;910;1534;5905;8245;5240;19828;7870;7687;25646;28;124;548;164;396;684;184;204
383;393;1171;384;554;754;768;911;1512;5893;8195;5147;19450;8039;7515;25659;28;124;548;164;396;684;184;204
459;391;1180;381;557;759;757;919;1582;5960;8192;5162;19645;7905;7553;26046;28;124;548;164;396;684;184;204
387;399;1163;381;587;767;765;922;1514;5961;8240;5134;19375;7965;7580;25646;28;124;548;164;396;684;184;204
369;381;1201;385;551;775;761;922;1530;5930;8248;5165;19648;7883;7601;25728;28;124;548;164;396;684;184;204
382;405;1163;393;554;762;781;882;1577;5948;8229;5263;19323;8099;7527;25588;28;124;548;164;396;684;184;204
391;386;1199;378;561;753;766;910;1588;5846;8242;5198;19458;7908;7560;25979;28;124;548;164;396;684;184;204
369;402;1146;407;573;750;775;910;1555;5913;8277;5225;19786;7941;7546;25378;28;124;548;164;396;684;184;204
374;413;1150;369;571;763;773;911;1557;5841;8180;5174;19425;8014;7603;25622;28;124;548;164;396;684;184;204
382;394;1174;383;575;757;844;908;1678;5990;8211;5250;19715;7937;7555;25490;28;124;548;164;396;684;184;204
373;395;1189;382;576;756;779;894;1528;5879;8215;5200;19514;7943;7612;25454;28;124;548;164;396;684;184;204
381;391;1183;387;562;746;759;927;1567;6012;8255;5184;19888;8086;7580;25413;28;124;548;164;396;684;184;204
377;398;1153;369;562;763;777;896;1564;5850;8225;5228;19667;7983;7636;25256;28;124;548;164;396;684;184;204
384;391;1198;384;568;767;815;921;1513;6003;8218;5215;19448;7990;7604;25130;28;124;548;164;396;684;184;204
376;414;1151;396;558;729;761;905;1525;5881;8181;5146;19462;7852;7567;25495;28;124;548;164;396;684;184;204
384;403;1170;389;568;767;762;908;1500;5886;8249;5193;19650;7907;7558;25662;28;124;548;164;396;684;184;204
376;401;1170;388;568;761;771;909;1505;5961;8241;5252;19346;7972;7628;25628;28;124;548;164;396;684;184;204
457;410;1190;381;562;749;779;926;1526;6121;8274;5174;19394;7973;7535;25726;28;124;548;164;396;684;184;204
367;410;1149;387;598;772;793;893;1606;5892;8218;5172;19490;7822;7643;25637;28;124;548;164;396;684;184;204
391;407;1184;411;551;769;754;916;1549;5981;8183;5181;20058;8109;7565;25182;28;124;548;164;396;684;184;204
365;401;1166;385;562;771;773;925;1603;5857;8265;5195;19561;8018;7630;25725;28;124;548;164;396;684;184;204
