svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14411;14021;14055;14380;14388;14226;15292;15217;15271;15193;15222;15296;15498;15768;15344;14581;14318;14622;14433;14218;14615;15612;15330;15306
14433;13933;13923;14168;14199;14265;15248;15342;15302;15176;15305;15168;15614;15442;15360;14427;14491;14227;14469;14445;14640;15377;15441;15490
15715;13959;14071;13916;14063;14274;15413;15256;15296;15250;15283;15332;15402;15551;15299;14516;14554;14265;14662;14389;14699;15338;15130;15315
14135;14074;14255;14192;14071;14186;15290;15121;15238;15242;15057;15294;15088;15330;15424;14674;14474;14436;14640;14508;14407;15376;15299;15347
14211;13946;14337;14063;14068;14221;15422;15330;15309;15072;15047;15365;15523;15447;15380;14363;14529;14371;14550;14407;14784;15381;15406;15291
14349;13839;14171;14025;14204;13992;15081;14885;15271;15104;15137;15317;15321;15256;15289;14498;14592;14664;14583;14478;14682;15241;15216;15463
14609;13953;14373;14224;14260;14318;15262;15365;15154;15168;15256;15154;15298;15243;15244;14571;14526;14822;14553;14440;14579;15307;15390;15369
14041;14295;14169;14149;14210;14132;15381;15238;15289;15350;15245;15363;15258;15306;15355;14751;14553;14403;14413;14461;14477;15411;15429;14673
14219;13542;13914;14127;14258;14161;15286;15332;15149;15204;15232;15187;15224;15712;15215;14522;14415;14377;14586;14449;14489;15515;15456;15377
14750;14187;14120;14372;14125;14178;15300;15329;15238;15205;15263;15341;15579;15318;15407;14445;14562;14603;14453;14592;14475;15430;15382;15489
14691;14141;14184;14326;14085;14284;15342;15394;15269;15314;15094;15165;15454;15512;15573;14573;14426;14611;14558;14563;14580;15164;15374;15359
14441;13853;13967;13960;13879;14051;15307;15277;15423;15277;15201;15132;15272;15414;15354;14457;14611;14422;14728;14789;14359;15514;15358;15418
14101;13948;14114;14142;14113;14435;15245;15234;15317;15368;15425;15319;15372;15395;15447;14919;14331;14560;14504;14407;14526;15261;15353;15336
14344;14157;14128;14096;14268;14222;15184;15086;15362;15407;15483;15363;15362;15252;15153;14467;14355;14457;14705;14320;14593;15333;15185;15115
14241;14042;14072;14285;14163;14236;15281;15178;15327;15383;15217;15121;15274;15314;15382;14459;14492;14407;14576;14329;14528;15446;15451;15335
14285;14103;14000;13788;14180;14352;15236;15323;15207;15249;15254;15370;15268;15292;15392;14729;14600;14672;14512;14566;14596;15431;15462;14965
15725;14027;14032;14077;14101;14049;15317;15186;15335;15084;15354;15156;15289;15275;15369;14583;14507;14587;14497;14459;14496;15284;15350;15458
14530;13843;14201;14175;14142;14039;15333;15247;15161;15150;15197;15157;15364;15323;15329;14639;14187;14545;14540;14621;14397;15282;15214;15436
14764;14094;13923;14197;13912;14206;15100;15159;15315;15207;15186;15114;15316;15352;15483;14655;14516;14617;14447;14478;14323;15353;15303;15348
14168;14132;14033;14237;14377;14207;15384;15329;15172;15263;15362;15129;15478;15323;15470;14673;14326;14628;14566;14531;14516;15400;15324;15481
14368;14104;14034;14124;14135;14129;15422;15517;15335;15270;15355;15175;15374;15514;15449;14653;14576;14498;14551;14597;14493;15492;15372;15569
14359;14136;14210;14166;13926;14202;15294;14908;15187;14893;15380;15143;15204;15498;15333;14496;14577;14405;14591;14196;14540;15444;15303;15123
14186;14140;14087;14364;13936;14082;15390;15243;15257;15291;15411;15282;15351;15392;15542;14552;14507;14316;14287;14156;14266;15101;15205;15273
14371;14242;14185;14176;14080;13953;15144;15337;15246;15268;15288;15193;15462;15524;15371;14226;14562;14607;14606;14488;14805;15485;15556;15567
15035;14000;14183;14128;14227;14050;15380;15552;15336;15014;15133;15325;15359;15386;15260;14651;14358;14484;14486;14641;14591;15409;15329;15531
14441;14104;14225;14385;14169;14210;15364;15196;15350;15342;15167;15214;15255;15414;15379;14526;14645;14172;14611;14546;14664;15476;15512;15283
14413;14051;14025;14058;14364;13992;15362;15392;15394;15193;15390;15288;15452;15355;15382;14448;14498;14329;14666;14479;14446;15354;15432;15360
14164;14170;14218;14128;14275;14015;15398;15308;15327;15209;15306;15271;15184;15380;15475;14406;14454;14198;14398;14470;14687;15337;15447;15392
14221;14109;14164;14184;14105;14452;15225;15256;15244;15423;15197;15351;15189;15501;15403;14450;14592;14476;14679;14549;14496;15368;15493;15417
14050;14165;14058;14269;14113;13798;15426;15240;15223;15394;15376;15263;15496;15470;15299;14589;14360;14588;14595;14329;14407;15542;15397;15255
14258;14136;14058;14275;14163;14093;15333;15297;15409;15263;15152;15198;15352;15389;15370;14738;14628;14564;14565;14406;14670;15520;15554;15213
